temperature	is_weekend	is_exam_day	is_raining	plates_sold
29	0	0	0	242.0
35	0	0	0	255.0
36	0	1	0	227.0
32	0	1	1	184.0
39	1	1	0	201.0
33	1	1	0	178.0
35	1	0	0	217.0
29	0	1	1	175.0
39	1	0	0	232.0
24	1	1	1	135.0
24	0	0	0	216.0
25	0	0	1	205.0
36	0	1	0	231.0
31	1	0	0	212.0
37	1	1	1	170.0
36	0	0	1	237.0
30	1	1	1	137.0
33	1	0	1	178.0
26	1	0	1	170.0
28	0	0	1	199.0
38	1	0	0	208.0
29	1	1	0	156.0
26	1	0	0	168.0
28	1	0	1	147.0
35	0	1	0	227.0
36	1	1	0	203.0
34	0	1	1	193.0
36	0	1	0	236.0
37	1	1	1	165.0
38	0	0	1	234.0
26	1	0	0	187.0
28	0	0	0	233.0
31	1	1	0	182.0
31	1	0	1	164.0
33	0	1	1	202.0
25	1	1	0	167.0
31	1	0	1	171.0
38	0	1	1	215.0
24	1	1	0	151.0
30	1	0	0	196.0
37	1	0	0	222.0
33	0	1	0	222.0
33	1	1	1	150.0
31	0	0	0	238.0
39	1	1	0	198.0
37	0	1	1	214.0
30	1	1	0	159.0
33	1	1	0	187.0
25	1	0	0	183.0
24	1	1	0	163.0
36	1	0	0	222.0
25	1	0	0	163.0
32	0	0	1	221.0
32	0	0	1	219.0
37	1	0	0	221.0
27	1	1	0	162.0
39	0	0	0	274.0
34	0	0	0	249.0
33	0	0	0	264.0
32	1	0	0	211.0
38	1	1	1	186.0
31	0	0	1	207.0
27	0	0	0	217.0
30	0	1	1	191.0
29	0	0	0	244.0
25	0	1	0	200.0
33	1	1	1	142.0
27	1	0	0	187.0
28	1	1	1	144.0
32	1	0	1	175.0
25	1	1	1	129.0
35	1	0	0	214.0
36	1	1	0	186.0
34	0	0	0	248.0
28	0	0	1	193.0
24	1	0	1	166.0
37	0	0	1	227.0
27	0	1	1	180.0
33	0	0	1	211.0
26	1	1	0	169.0
39	0	1	1	197.0
24	1	1	0	164.0
28	0	1	1	179.0
33	1	1	0	201.0
39	0	0	0	257.0
26	0	1	0	204.0
31	0	0	0	246.0
31	0	1	0	228.0
34	1	0	0	209.0
33	1	0	0	210.0
32	0	0	0	229.0
30	0	0	0	233.0
33	0	1	0	228.0
27	1	1	1	145.0
31	0	0	0	241.0
38	1	0	1	210.0
31	1	0	0	217.0
37	0	0	0	261.0
28	0	1	1	160.0
35	1	0	1	171.0
29	0	0	0	231.0
33	1	1	0	193.0
27	0	1	1	178.0
30	0	1	1	168.0
32	0	1	1	189.0
24	1	0	0	195.0
26	0	1	1	170.0
34	1	1	1	151.0
31	0	0	0	259.0
39	1	1	1	172.0
39	1	0	1	193.0
31	1	0	1	176.0
33	0	1	1	194.0
31	1	0	0	200.0
27	0	0	1	211.0
36	1	0	0	227.0
34	1	1	1	164.0
38	1	1	1	168.0
38	1	1	1	178.0
24	0	1	1	167.0
32	0	0	0	250.0
31	1	0	1	181.0
31	0	0	1	219.0
25	0	0	1	209.0
25	0	1	0	204.0
37	0	0	0	248.0
27	1	1	1	127.0
24	1	1	0	168.0
32	0	0	1	213.0
37	1	0	1	194.0
37	1	1	0	189.0
30	0	1	0	223.0
28	0	0	1	201.0
29	1	1	0	184.0
30	1	1	0	171.0
26	1	0	0	197.0
36	1	0	0	223.0
35	1	0	0	209.0
29	1	0	0	206.0
35	1	1	1	153.0
31	0	0	1	206.0
37	0	0	1	237.0
32	0	0	0	241.0
35	0	0	0	250.0
36	0	1	1	200.0
35	0	0	0	247.0
28	0	1	1	187.0
38	1	0	0	229.0
28	0	0	0	233.0
31	0	1	1	187.0
31	0	1	1	192.0
37	0	1	1	220.0
28	0	0	0	241.0
33	1	0	1	175.0
24	1	1	0	163.0
36	1	0	0	217.0
26	1	0	0	186.0
24	0	0	1	207.0
37	0	0	1	228.0
34	0	0	1	218.0
31	1	1	1	132.0
36	0	1	0	222.0
25	1	1	1	134.0
31	0	1	0	212.0
33	1	1	1	158.0
32	0	0	0	237.0
34	0	0	0	246.0
36	0	1	0	238.0
28	0	1	0	221.0
24	0	0	1	197.0
36	0	0	0	268.0
25	1	0	0	199.0
38	0	0	0	272.0
36	0	1	1	196.0
33	0	0	1	218.0
32	1	0	1	181.0
26	0	0	1	195.0
27	1	1	0	170.0
25	1	0	0	172.0
26	0	1	0	196.0
36	0	0	1	232.0
36	1	0	0	200.0
31	1	0	0	194.0
26	0	0	0	228.0
34	1	1	1	143.0
30	0	0	1	210.0
24	1	0	0	176.0
33	0	1	0	222.0
26	1	1	0	161.0
30	1	0	1	172.0
30	0	1	1	180.0
26	0	1	0	204.0
31	1	1	1	143.0
31	0	1	1	192.0
24	0	1	1	181.0
30	0	0	1	212.0
39	0	0	1	238.0
29	0	0	1	198.0
25	1	0	0	191.0
34	1	0	1	176.0
